a	あ	ア
xd	しぇん	
xl	しょん	

tyz	ちゃん	
tyn	ちゃん	
tyj	ちゅん	
tyd	ちぇん	
tyl	ちょん	

cz	ちゃん	
cn	ちゃん	
cj	ちゅん	
cd	ちぇん	
cl	ちょん	

nyz	にゃん	
nyn	にゃん	
nyj	にゅん	
nyd	にぇん	
nyl	にょん	

ngz	にゃん	
ngn	にゃん	
ngj	にゅん	
ngd	にぇん	
ngl	にょん	

hyz	ひゃん	
hyn	ひゃん	
hyj	ひゅん	
hyd	ひぇん	
hyl	ひょん	

hgz	ひゃん	
hgn	ひゃん	
hgj	ひゅん	
hgd	ひぇん	
hgl	ひょん	

myz	みゃん	
myn	みゃん	
myj	みゅん	
myd	みぇん	
myl	みょん	

mgz	みゃん	
mgn	みゃん	
mgj	みゅん	
mgd	みぇん	
mgl	みょん	

ryz	りゃん	
ryn	りゃん	
ryj	りゅん	
ryd	りぇん	
ryl	りょん	

gyz	ぎゃん	
gyn	ぎゃん	
gyj	ぎゅん	
gyd	ぎぇん	
gyl	ぎょん	

zyz	じゃん	
zyn	じゃん	
zyj	じゅん	
zyd	じぇん	
zyl	じょん	

jz	じゃん	
jn	じゃん	
jj	じゅん	
jd	じぇん	
jl	じょん	

byz	びゃん	
byn	びゃん	
byj	びゅん	
byd	びぇん	
byl	びょん	

pyz	ぴゃん	
pyn	ぴゃん	
pyj	ぴゅん	
pyd	ぴぇん	
pyl	ぴょん	

pgz	ぴゃん	
pgn	ぴゃん	
pgj	ぴゅん	
pgd	ぴぇん	
pgl	ぴょん	

fz	ふぁん	
fn	ふぁん	
fk	ふぃん	
fj	ふん	
fd	ふぇん	
fl	ふぉん	

vz	ヴぁん	
vn	ヴぁん	
vk	ヴぃん	
vj	ヴん	
vd	ヴぇん	
vl	ヴぉん	

tgk	てぃん	

tgj	とぅん	

dck	でぃん	

dcj	どぅん	

lz	ぁん	
ln	ぁん	
lk	ぃん	
ld	ぇん	
ll	ぉん	

lyz	ゃん	
lyn	ゃん	
lyj	ゅん	
lyl	ょん	

kq	かい	
kh	くう	
kw	けい	
kp	こう	

sq	さい	
sh	すう	
sw	せい	
sp	そう	

tq	たい	
th	つう	
tw	てい	
tp	とう	

nq	ない	
nh	ぬう	
nw	ねい	
np	のう	

hq	はい	
hh	ふう	
hw	へい	
hp	ほう	

mq	まい	
mh	むう	
mw	めい	
mp	もう	

yq	やい	
yh	ゆう	
yp	よう	

rq	らい	
rh	るう	
rw	れい	
rp	ろう	

gq	がい	
gh	ぐう	
gw	げい	
gp	ごう	

zq	ざい	
zh	ずう	
zw	ぜい	
zp	ぞう	

dq	だい	
dh	づう	
dw	でい	
dp	どう	

bq	ばい	
bh	ぶう	
bw	べい	
bp	ぼう	

pq	ぱい	
ph	ぷう	
pw	ぺい	
pp	ぽう	

kyq	きゃい	
kyh	きゅう	
kyw	きぇい	
kyp	きょう	

kgq	きゃい	
kgh	きゅう	
kgw	きぇい	
kgp	きょう	

syq	しゃい	
syh	しゅう	
syw	しぇい	
syp	しょう	

xq	しゃい	
xh	しゅう	
xw	しぇい	
xp	しょう	

tyq	ちゃい	
tyh	ちゅう	
tyw	ちぇい	
typ	ちょう	

cq	ちゃい	
ch	ちゅう	
cw	ちぇい	
cp	ちょう	

nyq	にゃい	
nyh	にゅう	
nyw	にぇい	
nyp	にょう	

ngq	にゃい	
ngh	にゅう	
ngw	にぇい	
ngp	にょう	

hyq	ひゃい	
hyh	ひゅう	
hyw	ひぇい	
hyp	ひょう	

hgq	ひゃい	
hgh	ひゅう	
hgw	ひぇい	
hgp	ひょう	

myq	みゃい	
myh	みゅう	
myw	みぇい	
myp	みょう	

mgq	みゃい	
mgh	みゅう	
mgw	みぇい	
mgp	みょう	

ryq	りゃい	
ryh	りゅう	
ryw	りぇい	
ryp	りょう	

gyq	ぎゃい	
gyh	ぎゅう	
gyw	ぎぇい	
gyp	ぎょう	

zyq	じゃい	
zyh	じゅう	
zyw	じぇい	
zyp	じょう	

jq	じゃい	
jh	じゅう	
jw	じぇい	
jp	じょう	

byq	びゃい	
byh	びゅう	
byw	びぇい	
byp	びょう	

pyq	ぴゃい	
pyh	ぴゅう	
pyw	ぴぇい	
pyp	ぴょう	

pgq	ぴゃい	
pgh	ぴゅう	
pgw	ぴぇい	
pgp	ぴょう	

fq	ふぁい	
fh	ふう	
fw	ふぇい	
fp	ふぉー	

vq	ヴぁい	
vh	ヴー	
vw	ヴぇい	
vp	ヴぉー	

tgh	とぅー	

dch	どぅー	

wq	わい	
ww	うぇい	
wp	うぉー	

lq	ぁい	
lh	ぅう	
lw	ぇい	
lp	ぉう	

lyq	ゃい	
lyh	ゅう	
lyp	ょう	

kf	き	
jf	じゅ	
hf	ふ	
yf	ゆ	
mf	む	
nf	ぬ	
df	で	
cf	ちぇ	
pf	ぽん	

wf	わい	
sf	さい	
ss	せい	
zc	ざ	
zv	ざい	
zf	ぜ	
zx	ぜい	

kt	こと	
wt	わた	
km	かも	
sr	する	
rr	られ	
nb	ねば	
nt	にち	
st	した	
mn	もの	
tm	ため	
tr	たら	
zr	ざる	
bt	びと	
dt	だち	
tt	たち	
ms	ます	
dm	でも	
nr	なる	
mt	また	
gr	がら	
wr	われ	
ht	ひと	
ds	です	
kr	から	
yr	よる	
tb	たび	
gt	ごと	
